,Muffat-FMG__1,Muffat-FMG__2,Muffat-FMG__1-NCM,Muffat-NPC__1,Muffat-NPC__2,Muffat-NPC__3,Muffat-NPC__4,Muffat-pMGL__1,Muffat-pMGL__2,Muffat-pMGL__31,Muffat-pMGL__32,Muffat-pMGL__4,Muffat-pMGL__5,Muffat-pMGL__1-NCM,Muffat-pMGL__2-NCM,Muffat-pMGL__3-NCM
AC006460.2,0,1,0,0,1,6,0,0,0,2,15,0,0,0,0,0
AC005540.3,0,0,4,6,2,3,2,0,0,0,10,0,2,0,0,1
GLS,4555,4927,2843,3362,2878,1428,2629,5171,4045,9688,15659,5001,5210,3155,3055,4412
STAT1,13679,10774,125541,7466,4613,6389,5056,12585,9445,15686,21534,69806,11016,7498,111560,77151
AC067945.3,0,0,4,1,2,0,2,2,0,2,0,4,0,2,13,1
AC067945.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC067945.4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
STAT4,41,42,33,34,27,35,19,155,44,210,857,434,78,106,161,494
RNU6-959P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-317J9.1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
AC079777.1,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0
AC092614.2,14,13,8,19,12,25,5,16,2,9,25,4,0,0,0,15
MYO1B,747,1203,1158,8534,2260,1503,951,4681,1661,13508,17367,1489,3425,942,383,7336
RNU6-1045P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NABP1,5226,7149,3252,753,533,305,441,3646,3704,3392,2573,4119,3451,2257,4986,2258
AC098872.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDPR,67,8,9,1483,422,592,259,3017,234,3786,3137,546,277,1204,28,4617
AC098617.1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,17
DNAJB1P,0,0,0,2,4,4,2,2,6,0,0,0,0,2,0,0
TMEFF2,373,728,1098,734,451,269,436,56,204,1139,163,18,108,230,2,458
AC013401.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC013401.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCGEM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC013401.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RF01981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC092638.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC092638.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC074290.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-764E7.1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,14,0
AC068135.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC068129.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AC068129.2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
AC018799.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC106883.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006196.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC010983.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AC064834.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
RP11-762E8.1,0,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0
RNU6-169P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC064834.2,0,0,0,2,5,14,0,0,2,2,0,0,0,0,0,0
AC064834.3,120,249,35,2,0,2,0,0,2,0,0,13,9,17,2,2
SLC39A10,4189,4636,3250,3949,3242,2429,1472,3568,4273,7515,6270,3353,4285,4038,1721,5864
AC064834.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-915P,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DNAH7,32,48,92,286,237,381,183,389,104,85,52,9,0,858,17,209
AC104600.1,0,0,0,4,3,3,0,0,0,0,0,0,0,6,0,0
AC114760.1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
STK17B,1886,1398,2445,1550,1372,448,393,2792,1841,4399,4430,2376,3089,1870,2359,4071
RP11-347P5.1,4,3,0,0,9,2,0,17,33,0,8,4,7,12,32,8
HECW2,82,10,38,558,188,432,259,564,248,604,587,60,372,346,8,1321
AC020571.3,0,0,0,111,4,8,0,0,4,6,4,1,0,0,4,19
RN7SL820P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-369J9.1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
CCDC150,12,2,19,33,59,55,12,18,38,35,22,0,18,19,0,20
GTF3C3,1934,1631,2043,2411,3085,1567,2101,1435,2049,2458,2052,1718,2447,1341,1747,2143
C2orf66,0,3,0,11,5,8,12,4,2,0,4,0,0,2,0,1
RP11-84A12.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PGAP1,319,498,805,1514,1938,2111,1656,574,554,2033,860,146,526,1021,218,1778
ANKRD44,1707,1587,1597,722,773,626,481,1072,1703,1148,1419,1519,2018,1270,1421,1136
AC017035.1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC017035.2,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0
AC013264.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC010746.2,8,1,4,2,12,3,4,0,2,0,0,0,1,0,0,3
AC074092.1,0,8,0,0,1,2,0,0,2,0,0,0,0,0,0,0
AC010746.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC010746.4,7,1,1,10,7,11,7,4,0,5,1,2,2,3,1,2
SF3B1,12344,12201,13932,14245,12846,15206,11071,12991,14597,15286,13231,10729,14859,11801,10093,15395
RF00394,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0
RNU6-1029P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COQ10B,4778,4492,6050,6771,6803,3258,6535,4046,4078,7051,5545,4803,3898,5702,4411,7239
HSPD1,13781,12585,16512,56959,56908,70206,65647,14537,16204,22485,12223,13826,12844,19786,12331,20160
HSPE1,2992,2872,4601,8840,7752,16006,12935,3128,3794,3767,2425,2647,2020,5657,2808,3866
HSPE1-MOB4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOB4,2246,2153,3604,7246,5545,3741,5653,2130,1922,4963,2196,1741,1587,3660,1546,4742
AC020550.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RFTN2,759,1141,2184,1283,1272,615,254,739,474,1761,1262,87,222,2437,148,2229
AC011997.1,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0
MARS2,652,693,818,1481,1578,714,1603,715,1000,906,584,846,815,623,807,971
BOLL,0,6,0,9,2,5,29,0,1,0,0,0,0,0,0,0
PLCL1,2478,3047,1455,546,386,295,152,2011,1955,1926,1308,3250,2717,1117,2115,1050
AC109589.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005235.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AC019330.1,0,0,0,6,10,0,0,6,2,0,0,0,0,10,0,0
AC018717.1,0,0,0,0,0,0,0,9,4,0,0,0,0,3,0,0
AC018717.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNU7-147P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SATB2,62,43,61,318,1143,1247,619,97,135,701,194,43,121,182,65,840
RP11-486F17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SATB2-AS1,3,0,2,12,35,47,54,0,3,21,18,1,0,8,0,33
AC093590.1,0,4,1,1,0,0,0,1,0,0,0,2,0,0,0,0
AC093590.2,1,4,0,4,2,2,6,12,2,2,0,18,2,8,0,5
FTCDNL1,1580,1199,919,80,47,43,8,581,921,703,328,662,1020,325,1055,439
AC073043.1,0,0,1,4,0,4,1,0,0,0,0,0,0,0,0,0
AC108032.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SL717P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2orf69,2648,3254,3953,2818,3591,2237,2502,1537,1663,2501,1927,2411,1982,1974,1992,3601
TYW5,375,406,781,1394,1618,903,1693,411,548,543,495,451,437,620,873,488
C2orf47,1216,1057,2060,2552,1763,1842,2721,850,1070,1366,825,1432,930,1329,1796,1657
SPATS2L,3210,3251,11752,10434,8600,15934,8529,8059,11641,12379,6015,5445,6210,11343,17865,12078
RNY4P34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
KCTD18,1774,1760,1862,1517,984,1742,1092,1483,1379,2115,2025,1422,1655,2033,1029,1744
SGO2,305,139,231,723,566,688,754,369,334,504,283,181,377,315,257,382
AOX1,48,6,0,317,248,162,178,175,63,740,1137,210,0,31,1,103
AOX3P,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AOX3P-AOX2P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007163.3,0,0,0,0,7,14,40,0,0,0,0,0,0,10,0,0
AOX2P,0,0,0,0,0,0,2,0,0,0,0,0,0,16,0,0
RNU1-133P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007163.6,0,3,0,6,4,12,4,2,0,0,0,0,0,0,2,1
BZW1,12135,12270,12997,39664,33495,27342,32320,18747,13127,19870,16510,9868,22715,16462,10240,15751
RNU6-31P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005037.1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLK1,827,768,871,1666,4903,1246,1898,681,1185,1001,742,528,802,1133,709,863
PPIL3,1784,1487,2235,2359,2736,2524,3747,1186,1396,1347,1000,912,991,2337,1164,1191
RNU6-312P,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NIF3L1,1856,1648,2357,2722,2730,2684,3511,1935,2173,2445,1661,1597,1977,3029,2059,2658
RNU6-762P,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
ORC2,380,500,799,1188,812,1043,845,720,630,882,849,441,764,736,706,811
AC005037.3,0,0,3,3,5,0,0,0,0,0,2,4,0,4,4,0
FAM126B,844,749,1699,1424,1859,948,1430,1070,934,1153,668,958,1205,1011,1133,991
AC007272.2,18,5,14,20,30,18,16,15,9,2,6,1,9,34,5,11
AC005037.4,1,0,0,0,2,0,0,0,0,2,0,0,0,0,10,4
NDUFB3,3477,3904,4260,6479,4896,9138,5938,3798,3818,5045,2944,3526,3414,5537,3139,4419
RNU6-1206P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-13J8.1,0,0,0,2,0,1,0,0,0,1,0,0,0,2,0,0
AC007272.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFLAR,4072,3865,5149,1343,811,822,819,2601,4244,2655,2255,3537,2831,2056,7679,2541
AC005037.5,0,0,0,0,1,0,1,2,0,2,0,0,0,0,1,1
ALS2CR10,0,1,4,11,37,20,35,14,10,2,0,0,2,3,10,2
RNU7-45P,0,0,0,1,0,2,0,0,2,0,0,0,0,0,1,3
AC007283.4,0,0,2,1,0,0,0,2,0,1,0,0,0,0,0,0
AC007283.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CASP10,938,609,1584,7,23,0,0,1335,1625,660,562,2013,1651,651,2156,890
AC005037.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005037.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005037.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CASP8,1414,1252,2515,982,689,821,547,2195,2241,1976,994,2590,2456,2003,4683,2172
ALS2CR12,17,2,4,91,56,65,40,56,35,14,22,0,2,113,13,18
TRAK2,8172,9300,5741,3998,2541,3660,2966,3500,4500,7194,5773,2951,3896,4886,3859,6185
STRADB,6906,6363,7215,7970,4411,4306,4250,3095,4111,7245,3425,4575,2673,7620,3850,8257
AC007256.5,9,28,12,14,2,0,0,6,6,1,9,0,8,0,24,10
ALS2CR11,30,4,24,11,16,13,31,0,0,16,16,0,2,20,0,0
AC007163.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007282.6,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4
AC007163.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007163.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007163.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007163.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007163.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM237,1202,1106,1477,4175,2635,3022,3660,2015,1512,5487,2716,1072,995,3633,662,3780
AC007282.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPP4,4,0,0,1279,932,330,606,8,56,192,20,27,38,1,12,90
RNU6-651P,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ALS2,1271,1268,1462,2029,1878,2096,1666,1878,1738,2656,1741,1161,1413,1982,1263,2899
AC007279.2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
CDK15,18,0,0,46,19,10,20,41,4,241,76,30,0,2,15,68
AC007242.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-440P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-107N15.1,0,0,0,63,46,31,8,4,5,0,2,0,2,10,0,15
FZD7,1001,754,583,4150,1752,2251,1714,2932,1422,6516,4651,681,972,2464,589,9098
KIAA2012,23,2,6,46,21,133,17,283,30,25,8,4,1,379,0,32
AC079354.3,0,0,0,2,24,0,0,0,0,0,24,9,0,0,0,7
AC079354.5,2,0,0,7,6,9,5,0,0,1,0,0,4,0,0,0
AC079354.2,2,0,0,2,0,1,0,1,2,0,0,0,0,2,7,0
AC079354.4,414,364,440,214,9,6,5,6,397,312,291,3,267,15,420,373
SUMO1,14115,12086,14875,20427,19348,18635,20039,9958,10752,17087,11682,11522,10706,14317,9342,12789
AC079354.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NOP58,2393,1945,2479,9960,11213,7727,11180,2436,2898,2774,1872,2260,2990,3102,2810,2176
SNORD70,0,0,2,1,1,1,0,0,1,0,0,0,0,0,4,0
RF00575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORD11B,0,0,0,1,1,1,3,0,4,0,0,0,0,0,0,0
SNORD11,1,0,0,3,15,2,1,3,0,0,0,0,0,0,2,0
RN7SL753P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC064836.3,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
RP11-686O6.1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
RN7SL40P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
RP11-686O6.2,15,35,35,110,119,242,167,44,24,34,11,6,29,169,23,42
BMPR2,3069,3115,3917,2960,3368,4831,3256,2454,2509,6013,5767,2799,3126,4126,3937,5530
RP11-27M5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC073410.1,8,11,4,23,37,15,0,0,3,0,0,0,0,10,26,0
AC009960.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009960.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009960.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009960.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009960.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009960.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009960.8,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0
AC009960.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM117B,711,596,888,758,1524,1354,870,419,491,953,583,335,368,423,177,848
ICA1L,183,227,393,618,916,768,725,536,397,531,265,94,93,966,26,483
AC098831.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC010900.1,0,0,0,0,3,0,0,0,8,0,3,0,0,0,0,0
WDR12,1529,1361,2081,2731,2337,2629,3024,1603,1886,1959,1322,1295,1691,2416,1274,2044
CARF,341,401,545,277,613,454,262,316,396,454,398,202,296,653,220,580
AC010900.2,0,2,0,8,7,9,20,0,0,2,0,8,0,26,20,1
RP11-544H14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBEAL1,572,928,539,646,545,1147,396,678,605,1533,1190,559,769,814,395,829
AC023271.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RF00408,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
AC023271.1,0,0,0,0,0,0,25,2,4,0,0,0,0,0,0,6
AC023271.2,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2
AC011737.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP20A1,1650,1598,1712,1377,1217,1999,1088,1686,2195,2190,1616,1776,1377,1656,1726,1767
RN7SL670P,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
AC080075.3,0,1,3,0,2,0,0,0,1,0,0,0,0,0,0,0
ABI2,2019,2809,5042,7885,8919,8013,4131,2987,3152,5579,3176,1354,1645,5908,1356,6270
RP11-363J17.1,1,1,0,4,1,0,9,0,0,1,0,1,2,5,0,0
RAPH1,140,185,186,202,182,103,187,217,311,420,429,130,284,316,165,335
AC125238.2,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0
AC125238.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD28,3426,3985,1665,0,1,8,0,17780,10079,12312,6465,22718,11843,4410,5667,14142
AC125238.4,0,0,0,1,0,4,0,0,0,0,4,2,0,0,0,0
AC010138.3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
RNU6-474P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTLA4,0,3,2,0,0,0,0,0,0,6,30,24,8,0,10,37
ICOS,4,2,0,0,0,0,0,0,0,14,0,0,0,0,0,0
AC009965.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009965.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009498.1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009498.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC106901.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AC016903.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC016903.2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
PARD3B,99,61,239,663,1707,1198,521,872,424,924,794,42,408,1652,127,734
AC008171.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRP2,8191,8136,9281,4789,14550,12157,10611,10214,6702,9011,13046,9331,6505,4266,7797,6862
AC007362.3,1,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0
RN7SKP178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007679.1,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0
AC007679.3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
INO80D,939,978,1179,886,1550,1572,1070,774,802,1580,705,709,848,910,1117,1618
RF00006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007679.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007383.3,53,47,61,214,201,209,158,90,110,123,111,40,126,180,73,108
NDUFS1,5530,6272,6695,5293,4205,6222,4735,6060,6920,8495,5594,5114,5825,6159,5577,10587
AC007383.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007383.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EEF1B2,10991,8861,5398,23590,19769,14755,18499,7679,8002,14005,9069,6474,10486,8920,4503,9864
RF00134,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SNORD51,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SNORA41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR1,45,32,129,566,425,1830,1234,631,337,7992,4437,235,270,1137,62,14772
GPR1-AS,0,1,0,0,1,0,2,0,0,5,0,1,0,4,0,2
RN7SKP200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007383.6,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0
AC007383.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZDBF2,327,402,517,1570,2193,1957,1708,694,780,3916,2021,699,325,1248,184,4296
AC017081.2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
AC017081.3,0,0,0,0,0,2,0,1,0,1,0,0,0,0,3,0
ADAM23,212,483,1124,217,1053,1201,401,1042,645,4205,1239,157,123,669,96,3772
AC010731.2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
AC010731.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FAM237A,0,0,0,5,5,4,4,0,0,6,0,0,0,0,0,0
DYTN,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
AC010731.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDH1B,61,54,193,256,157,370,129,474,175,254,39,33,0,923,36,386
FASTKD2,3678,2809,4294,4723,3036,2518,3377,3514,3386,4609,3190,2937,3711,3488,3020,3903
MIR3130-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR3130-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-95H11.1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
AC008269.2,0,0,7,13,16,3,2,7,0,17,9,0,0,0,8,4
CPO,0,0,0,8,15,0,0,0,4,0,2,0,0,8,0,3
KLF7,2070,2406,4258,4083,2879,2840,2258,1661,2554,4111,2806,1509,1526,1950,1546,2803
MIR2355,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC008062.1,0,0,5,4,0,11,0,1,2,2,0,0,2,0,0,0
MIR7845,0,2,1,1,3,5,0,0,1,5,0,0,0,0,0,0
AC007879.1,0,0,0,6,1,5,3,0,0,0,0,0,0,0,0,0
AC007879.2,13,2,12,18,8,15,16,8,1,10,16,6,2,4,7,9
AC007879.4,0,0,6,69,11,41,23,1,2,1,6,0,0,0,0,16
AC007879.3,0,0,0,4,1,0,3,0,1,4,1,2,0,8,0,0
AC007879.7,0,0,0,41,10,8,2,27,39,45,42,6,13,15,7,21
AC007879.5,14,2,48,11,4,9,1,23,5,9,16,9,3,1,9,7
AC007879.6,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0
MIR1302-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CREB1,5667,4276,7410,5577,4354,3919,3156,4785,5042,7357,5227,4056,5792,7500,5412,7744
METTL21A,1744,1318,2597,2466,2290,2130,1781,1555,2043,2244,1492,1539,1695,2512,1587,2422
AC079767.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC079767.4,1566,1618,565,0,0,0,0,164,49,441,357,612,74,170,547,261
RNU6-664P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC096772.4,23,29,38,47,70,120,57,25,31,45,41,15,18,46,8,12
CCNYL1,1117,1227,1076,920,654,840,1012,767,661,1002,839,1098,796,652,1029,956
RP11-801F7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR4775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FZD5,733,1035,1677,298,234,268,60,923,819,886,546,995,913,394,1346,1021
PLEKHM3,632,533,747,497,470,552,501,464,526,911,1015,417,519,460,454,1693
AC083900.1,10,6,3,6,0,2,0,3,6,0,0,10,2,0,2,0
RNU6-360P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC093698.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC093698.2,0,1,0,10,1,4,0,6,1,1,0,0,2,4,0,3
AC093698.3,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0
CRYGD,11,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0
CRYGC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AC093698.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRYGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRYGA,0,0,0,18,12,6,4,0,0,2,0,0,0,0,0,0
C2orf80,287,298,646,186,422,320,228,4,44,132,34,0,0,36,0,161
AC016697.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC016697.6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IDH1,32626,31048,32790,6189,7530,5176,4760,30524,43115,26873,21988,38681,36578,18866,25339,15740
AC016697.3,92,61,61,72,173,181,99,114,51,76,22,37,92,200,67,46
PIKFYVE,960,980,1079,1017,1523,1581,1410,1449,1996,1743,1634,876,1144,1140,1284,1954
AC016697.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
PTH2R,2,9,2,9,48,2,13,4,0,0,0,0,0,0,0,0
AC012362.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC019185.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC019185.4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
AC019185.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC013409.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC013409.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC013409.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AC013409.4,0,0,0,0,0,1,0,0,0,1,1,0,0,13,0,0
MAP2,4719,6532,11810,13241,17821,26459,12876,1965,3562,9866,3173,391,244,5884,934,13039
RNA5SP118,2,0,4,5,2,6,0,0,3,5,0,0,0,0,0,0
UNC80,90,83,56,796,580,1234,779,55,125,230,46,75,30,109,18,401
AC006385.4,0,2,0,0,0,3,0,0,0,0,0,0,0,8,0,0
RPE,5609,4673,5462,3483,2341,2652,2255,4346,4947,5747,4191,5104,6259,4139,5515,5805
KANSL1L,326,214,316,345,453,459,398,251,204,717,509,90,146,435,272,712
RP11-260M2.1,5,5,6,4,9,4,5,6,3,6,0,5,1,2,8,0
AC007038.7,11,6,4,22,7,24,24,11,4,11,22,0,4,4,13,0
AC006994.1,1,0,0,0,3,0,0,11,6,0,0,3,4,0,0,2
AC006994.2,0,0,0,7,20,14,47,0,0,0,0,2,0,0,0,0
ACADL,33,47,20,107,50,98,0,19,37,44,20,0,14,322,3,43
MYL1,0,0,0,0,4,0,0,0,0,65,10,0,0,2,0,53
AC007970.1,5,7,5,1,3,3,9,0,2,2,1,0,2,0,9,0
LANCL1,1888,1953,3057,4466,3398,2618,2121,2466,2617,6008,3583,2246,2652,3283,1530,6768
CPS1,92,83,140,283,805,278,329,348,88,291,443,230,353,503,35,275
CPS1-IT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-212J19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC013404.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
