	Human_ABCD1_1	Human_ABCD1_2	Human_ABCD1_3	Human_NT_1	Human_NT_2	Human_NT_3
RP5-857K21.6	275.229634251573	324.893327513115	283.33113700558	253.419621402054	277.340758084894	274.107885478549
MIR6723	0	0	0	0	0	0
RP5-857K21.7	6.44350314301341	1.21682894199669	11.0388754677499	6.36199886364989	12.9226876527012	12.1440202427205
RP5-857K21.14	0	0	0.919906288979156	1.06033314394165	0	0
RP5-857K21.10	1458.99321166804	1764.4019658952	1665.95028934125	1301.0287676164	1572.5916820441	1546.62772091219
RP5-857K21.11	15.6485076330326	23.119749897937	20.2379383575414	9.54299829547483	20.8751108235942	6.93944013869744
RP5-857K21.12	0	0	0	0	0	0
OR4F16	0	1.21682894199669	0	1.06033314394165	0	0
RP11-206L10.15	5.52300269401149	0	0	2.1206662878833	0	3.46972006934872
RP11-206L10.2	50.6275246951053	37.7216972018973	26.6772823803955	26.5083285985412	46.7204861289965	64.1898212829513
RNU6-1199P	0	1.21682894199669	1.83981257795831	0	0.994052896361628	0
RP11-206L10.4	0	0	0.919906288979156	0	0	0
RP11-206L10.9	34.9790170620728	66.9255918098178	56.1142836277285	31.8099943182494	29.8215868908488	38.1669207628359
RP11-206L10.18	0	0	0	0	0	0
RP11-206L10.8	10.1255049390211	15.8187762459569	2.75971886693747	10.6033314394165	1.98810579272326	3.46972006934872
FAM87B	14.7280071840306	2.43365788399337	8.27915660081241	10.6033314394165	8.94647606725465	10.4091602080462
RP11-206L10.11	254.058123924529	251.883590993314	207.898821309289	119.817645265406	126.244717837927	146.595672929983
NCRNA00115	20.2510098780421	18.2524341299503	11.958781756729	20.1463297348913	21.8691637199558	13.8788802773949
FAM41C	0	0	0	0	0.994052896361628	0
TUBB8P11	0	0	0	0	0	0
FAM166AP3	0	0	0	0	0	0
RP11-54O7.16	0	0	0	0	0	0
RP11-54O7.1	0	2.43365788399337	0	0	3.97621158544651	2.60229005201154
RP11-54O7.2	0	0	0	0	0	0
RP11-54O7.3	0	0	1.83981257795831	0	0	0
SAMD11	3.68200179600766	0	0	0	0	2.60229005201154
NOC2L	970.207473248018	1005.10070608926	985.219635496677	1198.17645265406	1117.31545551047	1104.23841207023
KLHL17	83.7655408591743	113.165091605692	76.35222198527	170.713636174605	124.256612045204	148.330532964658
PLEKHN1	1.84100089800383	4.86731576798675	8.27915660081241	13.7843308712414	22.8632166163175	9.54173019070898
PERM1	3.68200179600766	2.43365788399337	0	6.36199886364989	0.994052896361628	1.73486003467436
RP11-54O7.17	0	1.21682894199669	0	6.36199886364989	2.98215868908488	5.20458010402308
HES4	14.7280071840306	13.3851183619636	20.2379383575414	90.1283172350401	107.357712807056	52.0458010402308
ISG15	6657.97974763085	6247.19978821099	6365.75151973576	10063.6218691502	9498.17542473536	9355.23273698148
RP11-54O7.10	0	0	0	0	0	0
RP11-54O7.11	1.84100089800383	0	0	4.24133257576659	5.96431737816977	3.46972006934872
AGRN	629.62230711731	783.637838645866	757.082875829846	1254.37410928297	1173.97647060308	1137.20075272904
RP11-54O7.14	0	0	0	0	0	0
RP11-465B22.3	4.60250224500957	2.43365788399337	3.67962515591663	12.7239977272998	15.9048463417861	16.4811703294064
RP11-54O7.18	0	0	0	0	0.994052896361628	0.86743001733718
RNF223	0	0	0	0	0	0
C1orf159	105.85755163522	79.0938812297846	85.5512848750616	161.170637879131	130.220929423373	117.103052340519
RP11-465B22.5	0	0	0	0	0	0
MIR200B	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0
MIR429	0	0	0	0	0	0
RP11-465B22.8	0	0	0	0	1.98810579272326	1.73486003467436
RP11-465B22.6	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0
TNFRSF18	0	0	0	0	0	0
TNFRSF4	4.60250224500957	4.86731576798675	3.67962515591663	2.1206662878833	1.98810579272326	0
SDF4	2194.47307042057	2364.29863429956	2477.30763622087	2147.17461648184	2062.65975995038	2083.56690164391
B3GALT6	266.945130210555	267.702367239271	236.415916267643	95.4299829547483	86.4826019834617	78.9361315776833
C1QTNF12	2.76150134700575	2.43365788399337	5.51943773387494	8.48266515153319	7.95242317089303	3.46972006934872
RP5-902P8.12	9.20500449001915	3.65048682599006	1.83981257795831	0	9.94052896361628	5.20458010402308
UBE2J2	480.501234379	492.815721508658	510.547990383432	743.293533903095	700.807291934948	629.754192586792
RP5-902P8.10	0.920500449001915	10.9514604779702	9.19906288979156	6.36199886364989	3.97621158544651	4.3371500866859
SCNN1D	40.5020197560843	26.7702367239271	41.395783004062	21.206662878833	52.6848035071663	32.0949106414756
ACAP3	388.451189478808	362.615024715013	384.520828793287	463.3655839025	422.472480953692	456.268189119356
MIR6726	0	0	0	0	0	0
PUSL1	92.9705453491934	135.068012561632	98.4299729207697	156.929305303364	111.333924392502	104.091602080462
INTS11	1103.6800383533	1080.54410049306	1170.12079958149	1103.80680284326	1074.57118096692	866.562587319842
MIR6727	0	0	0	0	0	0
RP5-890O3.9	20.2510098780421	23.119749897937	21.1578446465206	24.3876623106579	16.8988992381477	24.288040485441
CPTP	207.112601025431	221.462867443397	264.933011225997	400.805928409943	412.531951990076	358.248597160255
TAS1R3	14.7280071840306	17.0356051879536	18.3981257795831	12.7239977272998	11.9286347563395	8.6743001733718
DVL1	367.279679151764	373.566485192983	395.559704261037	516.382241099583	586.491208853361	444.124168876636
MIR6808	0	0	0	0	0	0
MXRA8	26.6945130210555	9.73463153597349	27.5971886693747	18.025663447008	1.98810579272326	13.8788802773949
AURKAIP1	760.333370875582	889.501956599578	831.595285237158	1048.66947935829	989.08263187982	870.899737406528
RP5-890O3.3	0	0	0	0	0	1.73486003467436
CCNL2	2608.69827247143	2675.80684345071	2723.84252166728	3030.43212538523	2992.0992180485	2798.32923592974
RP4-758J18.2	188.702592045393	203.210433313447	217.097884199081	236.454291098988	214.715425614112	189.967173796842
MRPL20	1077.90602578124	1045.25606117515	1057.89223232603	847.206182009377	827.052009772875	804.107626071565
RN7SL657P	0	0	0	0	0	0
RP4-758J18.13	41.4225202050862	24.3365788399337	41.395783004062	39.232326325841	40.7561687508268	31.2274806241385
ANKRD65	1.84100089800383	4.86731576798675	1.83981257795831	6.36199886364989	1.98810579272326	1.73486003467436
RP4-758J18.7	0	0	0	0	0	0
TMEM88B	0	0	0	0	0	0
RP4-758J18.10	0	0	1.83981257795831	2.1206662878833	1.98810579272326	0
VWA1	20.2510098780421	19.469263071947	12.8786880457082	21.206662878833	18.8870050308709	20.8183204160923
ATAD3C	0	0	0	0	1.98810579272326	0
ATAD3B	354.392672865737	365.048682599006	360.603265279829	588.484894887615	587.485261749722	547.34834093976
RP5-832C2.8	0	2.43365788399337	5.51943773387494	2.1206662878833	0	3.46972006934872
ATAD3A	446.442717765929	459.961340074747	505.028552649557	603.329558902798	592.45552623153	510.048850194262
TMEM240	9.20500449001915	43.8058419118807	18.3981257795831	13.7843308712414	23.8572695126791	26.8903305374526
SSU72	1356.81766182882	1559.97470363975	1418.49549760586	1216.20211610107	1177.95268218853	1123.32187245165
RP5-832C2.5	20.2510098780421	20.6860920139437	16.5583132016248	16.9653303030664	37.7740100617419	12.1440202427205
RP11-345P4.11	0	0	0	0	0	0
C1orf233	0	2.43365788399337	1.83981257795831	8.48266515153319	5.96431737816977	10.4091602080462
RP11-345P4.9	26.6945130210555	31.6375524919138	18.3981257795831	12.7239977272998	37.7740100617419	18.2160303640808
MIB2	269.706631557561	281.087485601235	239.175635134581	214.187295076213	212.727319821388	212.520354247609
MMP23B	0	2.43365788399337	0.919906288979156	0	0.994052896361628	0
CDK11B	370.04118049877	431.974274408824	424.99670550837	430.495256440309	418.496269368246	374.729767489662
RP11-345P4.10	0	0	0	0	0	0
SLC35E2B	1005.18649031009	1011.18485079925	1061.57185748195	631.958553789222	647.12843553142	559.492361182481
RP11-345P4.6	39.5815193070823	49.8899866218641	36.7962515591663	51.9563240531408	50.696697714443	26.0229005201154
MMP23A	0	0	0	2.1206662878833	0	0
CDK11A	17.4895085310364	20.6860920139437	10.1189691787707	26.5083285985412	24.8513224090407	21.6857504334295
RP1-283E3.8	73.6400359201532	65.7087628678211	71.7526905403742	72.1026537880321	69.583702745314	57.2503811442538
RP1-283E3.4	8.28450404101724	4.86731576798675	10.1189691787707	21.206662878833	15.9048463417861	5.20458010402308
SLC35E2	478.660233480996	551.223510724499	503.188740071599	371.116600379577	342.948249244762	326.153686518779
NADK	797.153388835658	754.433944037946	832.515191526137	1041.2471473507	1096.44034468688	986.267929712373
GNB1	6165.51200741483	6383.48462971462	6343.67376880026	5168.06374357159	5130.30699812236	4980.78315955008
RP1-140A9.1	5.52300269401149	2.43365788399337	4.59953144489578	9.54299829547483	6.9583702745314	3.46972006934872
CALML6	0	2.43365788399337	1.83981257795831	4.24133257576659	9.94052896361628	3.46972006934872
TMEM52	0	4.86731576798675	0	4.24133257576659	9.94052896361628	6.93944013869744
CFAP74	0	0	0	0	0	1.73486003467436
RP11-547D24.1	0	0	0	0	0	0
GABRD	0	0	0	0	0	0
RP11-547D24.3	0	0	0	0	0	0
PRKCZ	0	4.86731576798675	0	5.30166571970824	12.9226876527012	6.07201012136026
RP5-892K4.1	0	0	0	0	1.98810579272326	0
RP11-181G12.2	3.68200179600766	0	0	4.24133257576659	0	3.46972006934872
FAAP20	183.179589351381	176.44019658952	175.702101195019	274.626284280887	260.441858846747	259.361575183817
RP11-181G12.4	0	0	0	0	0	0
SKI	567.948777034182	754.433944037946	716.606999114763	578.94189659214	552.693410377065	574.238671477213
MORN1	86.52704220618	93.6958285337449	79.1119408522075	162.230971023072	133.203088112458	137.921372756612
RP4-713A8.1	0	0	0	0	0	0
RP4-740C4.5	0	0	3.67962515591663	16.9653303030664	11.9286347563395	13.0114502600577
RP4-740C4.7	0	0	0	2.1206662878833	1.98810579272326	3.46972006934872
RER1	1651.37780550944	1631.76761121756	1692.62757172165	1848.16066989029	1898.64103205071	1781.70125561057
PEX10	286.275639639596	271.352854065261	316.44776340883	429.434923296368	451.300014948179	359.983457194929
PLCH2	0	0	0	0	0	0
RP3-395M20.2	0	0	0	0	0	0
RP3-395M20.3	0	0	0	0	0	0
PANK4	0	4.86731576798675	0	2.1206662878833	0	1.73486003467436
HES5	0	0	0	0	0	0
RP3-395M20.12	0	0	0	0	0	0
RP3-395M20.8	0	0	0	0	0	0
TNFRSF14	4.60250224500957	6.08414470998343	1.83981257795831	4.24133257576659	48.7085919217198	3.46972006934872
RP3-395M20.7	0	0	0	0	0	0
RP3-395M20.9	0	0	0	0	0	0
FAM213B	1.84100089800383	2.43365788399337	1.83981257795831	4.24133257576659	3.97621158544651	1.73486003467436
MMEL1	0	0	0	0	0	0
RP13-436F16.1	0	0	0	0	0	0
TTC34	0	0	0	0	0	0
ABC14-1188822O7.1	0	0	0	0	0	0
RP11-740P5.2	0	0	0	0	0	0
RP11-740P5.3	0	0	0	0	0	0
RP5-907A6.1	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
RP1-163G9.1	0	0	0	0	0	0
PRDM16	0	0	0	0	0	0
MIR4251	0	0	0	0	0	0
RP1-163G9.2	0	0	0	0	0	0
RP11-193J6.1	0	0	0	0	0	0
RP11-22L13.1	0	0	0	0	0	0
ARHGEF16	7.36400359201532	9.73463153597349	5.51943773387494	16.9653303030664	15.9048463417861	12.1440202427205
RP11-168F9.2	1.84100089800383	0	0	0	1.98810579272326	3.46972006934872
MEGF6	331.380161640689	447.793050654781	530.785928740973	502.597910228341	495.038342388091	463.207629258054
MIR551A	0	0	0	0	0	0.86743001733718
RP11-46F15.2	1.84100089800383	1.21682894199669	1.83981257795831	2.1206662878833	1.98810579272326	1.73486003467436
TPRG1L	1160.75106619141	1162.07163960684	1179.31986247128	1261.79644129056	1283.32228920286	1252.56894503489
WRAP73	231.045612699481	248.233104167324	301.729262785163	360.51326894016	307.162344975743	348.706866969546
TP73	4.60250224500957	0	4.59953144489578	11.6636645833581	1.98810579272326	5.20458010402308
RP5-1092A11.5	0	2.43365788399337	0	1.06033314394165	0	0
RP5-1092A11.2	0	0	0	0	0	0
TP73-AS1	330.459661191687	326.110156455112	372.562047036558	572.57989772849	504.978871351707	524.795160488994
RF02197	0	0	0	0	0	0
CCDC27	0	0	0	0	0	0.86743001733718
SMIM1	5.52300269401149	9.73463153597349	3.67962515591663	2.1206662878833	8.94647606725465	1.73486003467436
LRRC47	848.701413979766	820.142706905767	864.711911640407	787.827525948645	826.057956876513	754.664115083346
RN7SL574P	3.68200179600766	0	0.919906288979156	0	0	0.86743001733718
RP1-286D6.5	18.4100089800383	18.2524341299503	6.4393440228541	25.4479954545996	8.94647606725465	21.6857504334295
CEP104	460.250224500958	451.443537480771	407.518486017766	885.378175191276	931.427563890846	909.066658169364
DFFB	108.619052982226	96.1294864177382	73.5925031183325	164.351637310955	194.834367686879	138.788802773949
C1orf174	185.020590249385	131.417525735642	160.983600571352	435.796922160017	405.573581715544	433.71500866859
RP13-15E13.1	3.68200179600766	4.86731576798675	3.67962515591663	9.54299829547483	9.94052896361628	6.93944013869744
RP13-614K11.1	0	0	0	0	0	0
RP13-614K11.2	0	0	0	0	0	0
RP11-718D19.1	0	0	0	0	0	0
RP11-718D19.2	0	0	0	0	0	0
RP11-374C13.1	0	0	0	0	0	0
RP5-1166F10.1	0	0	0	0	0	0
RP5-1166F10.2	0	0	0	0	0	0
RP1-37J18.1	0	0	0	0	0	0
RP1-37J18.2	0	0	0	0	0	0
AJAP1	0	0	0	0	0	0
RP4-603B14.2	0	0	0	0	0	0
RP4-603B14.1	0	0	0	0	0	0
RP11-542C10.1	0	0	0	0	0	0
RP4-703E10.1	0	0	0	0	0	0
RP1-58B11.2	0	0	0	0	0	0
RP1-58B11.3	0	0	0	0	0	0
RP1-58B11.1	0	0	0	0	0	0
RP3-491M17.1	0	0	0	0	0	0
RP11-154H17.1	0	0	0	0	0	0
MIR4417	0	0	0	0	0	0
MIR4689	0	0	0	0	0	0
NPHP4	87.4475426551819	135.068012561632	94.7503477648531	166.472303598839	159.048463417861	111.898472236496
KCNAB2	104.016550737216	139.935328329619	91.0707226089365	43.4736589016076	49.7026448180814	58.9852411789282
CHD5	3.68200179600766	3.65048682599006	7.35925031183325	2.1206662878833	1.98810579272326	1.73486003467436
RPL22	5093.1289843276	5500.06681782502	5008.88974349151	4834.05880322997	4872.8472979647	5132.58341258409
RP1-120G22.11	0	2.43365788399337	0	0	7.95242317089303	2.60229005201154
RNF207	85.6065417571781	76.6602233457913	73.5925031183325	62.5596554925572	45.7264332326349	101.48931202845
ICMT	1261.08561513262	1444.37595415007	1451.61212400911	1290.42543617699	1266.42338996471	1260.37581519092
LINC00337	5.52300269401149	4.86731576798675	6.4393440228541	2.1206662878833	3.97621158544651	7.80687015603462
HES3	0	0	0	0	0	0
GPR153	77.3220377161609	69.3592496938111	65.3133465175201	56.1976566289074	42.74427454355	71.1292614216487
ACOT7	740.08236099754	652.220312910224	648.533933730305	489.873912501042	497.026448180814	491.832819830181
RP1-202O8.3	0	0	0	0	0	0
HES2	46.0250224500958	41.3721840278873	51.5147521828328	174.954968750372	207.75705533958	152.667683051344
ESPN	4.60250224500957	2.43365788399337	0.919906288979156	6.36199886364989	0	3.46972006934872
MIR4252	0	0	0	0	0	1.73486003467436
RP1-202O8.2	0	0	0	0	0	0.86743001733718
TNFRSF25	111.380554329232	110.731433721698	116.828098700353	335.065273485561	350.900672415655	359.116027177592
PLEKHG5	828.450404101724	838.395141035717	849.073504727761	1678.50736685963	1638.19917320396	1445.13840888374
NOL9	1153.3870625994	1117.04896875296	1083.64960841745	1188.63345435859	1170.994311914	1135.46589269437
RNU6-731P	0	2.43365788399337	1.83981257795831	0	0	1.73486003467436
RP11-58A11.2	7.36400359201532	8.51780259397681	15.6384069126457	16.9653303030664	10.9345818599779	18.2160303640808
TAS1R1	0	0	2.75971886693747	1.06033314394165	0	3.46972006934872
ZBTB48	256.819625271534	215.378722733413	230.896478533768	299.013946591545	311.13855656119	291.456485825292
KLHL21	516.400751890074	637.618365606264	633.815433106639	581.062562880023	594.443632024254	569.901521390527
PHF13	264.18362886355	223.89652532739	305.40888794108	199.34263106103	241.554853815876	237.675824750387
THAP3	163.849079922341	209.29457802343	179.381726350936	224.790626515629	210.739214028665	209.05063417826
DNAJC11	849.621914428768	918.705851207498	871.151255663261	783.586193372878	722.676455654904	708.690324164476
RP11-242F24.1	0	0	0	0	0	0
RP11-242F24.2	0	0	0	0	0	0
RP11-312B8.1	1.84100089800383	2.43365788399337	3.67962515591663	6.36199886364989	3.97621158544651	3.46972006934872
CAMTA1	314.811153558655	305.424064441168	277.811699271705	352.030603788627	300.203974701212	370.392617402976
RP11-312B8.2	5.52300269401149	0	5.51943773387494	4.24133257576659	1.98810579272326	0.86743001733718
RP11-334N17.1	0	0	0	0	0	0
RNU1-8P	0	0	0	0	0	0
RP3-453P22.1	0	0	0.919906288979156	0	0	0.86743001733718
RP3-453P22.2	0	0	0	1.06033314394165	0	1.73486003467436
RP4-549F15.1	0	0	0	0	0	0
RP11-338N10.1	0	0	0	0	0	0
RP11-338N10.2	0	0	0	0	1.98810579272326	0
RP11-338N10.3	0	0	0	0	0	2.60229005201154
VAMP3	1707.52833289855	1895.81949163084	1877.52873580646	3569.08136250759	3510.00077705291	3629.32719253876
RP3-467L1.6	11.046005388023	12.1682894199669	7.35925031183325	12.7239977272998	18.8870050308709	18.2160303640808
PER3	41.4225202050862	17.0356051879536	27.5971886693747	79.5249857956236	119.286347563395	85.0081416990436
RP3-467L1.4	0	0	1.83981257795831	2.1206662878833	0	1.73486003467436
UTS2	0	0	0	0	0	0
TNFRSF9	0	0	0	21.206662878833	15.9048463417861	13.0114502600577
RP5-892F13.2	0	0	0	0	0	0
PARK7	2064.6825071113	2147.70308262415	2090.02708856064	1322.23543049524	1287.29850078831	1293.33815584973
RF00019	681.170332261417	614.498615708327	589.659931235639	566.21789886484	509.949135833515	575.10610149455
CTA-215D11.6	48.7865237971015	17.0356051879536	15.6384069126457	43.4736589016076	23.8572695126791	27.7577605547897
CTA-215D11.5	1.84100089800383	3.65048682599006	0	0	0	3.46972006934872
ERRFI1	1255.56261243861	1314.17525735642	1240.0336775439	2988.01879962756	3063.67102658654	3219.03279433827
RP11-431K24.1	5.52300269401149	0	10.1189691787707	21.206662878833	15.9048463417861	10.4091602080462
CTA-215D11.4	0	0	0	0	0	0
RP11-431K24.2	0	0	0	0	0	0
RP11-431K24.3	0	0	0	0	0	0
RNU1-7P	0	0	0	0	0	0
RP11-431K24.4	0	0	0	2.1206662878833	0	0
RNU6-991P	0	0	0	0	0	0
SLC45A1	19.3305094290402	24.3365788399337	24.8374698024372	12.7239977272998	21.8691637199558	25.1554705027782
RERE	497.990742910036	575.560089564433	575.861336900952	400.805928409943	513.925347418962	542.143760835737
RP5-1115A15.1	12.8870062860268	4.86731576798675	5.51943773387494	5.30166571970824	14.9107934454244	8.6743001733718
RF00599	0	0	0	0	1.98810579272326	1.73486003467436
RP5-1115A15.2	0.920500449001915	2.43365788399337	2.75971886693747	3.18099943182494	1.98810579272326	1.73486003467436
RP4-633I8.1	11.9665058370249	9.73463153597349	6.4393440228541	3.18099943182494	6.9583702745314	0.86743001733718
RP4-633I8.2	11.9665058370249	4.86731576798675	9.19906288979156	12.7239977272998	5.96431737816977	12.1440202427205
RP4-633I8.3	6.44350314301341	1.21682894199669	9.19906288979156	4.24133257576659	6.9583702745314	6.07201012136026
RP4-633I8.4	11.046005388023	3.65048682599006	11.0388754677499	5.30166571970824	11.9286347563395	12.1440202427205
RP11-185B14.1	0	0	0	0	1.98810579272326	0
ENO1	13744.9127044966	13735.5650972586	13463.7484454989	15928.3244882914	15318.3551329327	15731.7107944271
MIR6728	1.84100089800383	0	0	2.1206662878833	0	0
RP3-477M7.3	5.52300269401149	2.43365788399337	0	1.06033314394165	1.98810579272326	6.93944013869744
RNU6-304P	0	0	0	0	0	0
RP3-477M7.4	0	0	0	0	0	0
RP3-477M7.5	0	0	0	0	0	0
RP3-477M7.6	0.920500449001915	0	0	0	0	0
CA6	0	0	0	2.1206662878833	0	0
RN7SL451P	0	0	0	0	0	0
SLC2A7	0	0	0	0	0	0
SLC2A5	1.84100089800383	0	0	0	0	0
RF00424	1.84100089800383	6.08414470998343	2.75971886693747	0	1.98810579272326	0.86743001733718
GPR157	83.7655408591743	86.3948548817647	87.3910974530199	57.257989772849	36.7799571653802	41.6366408321846
MIR34AHG	677.488330465409	528.103760826562	578.621055767889	1002.01482102486	885.701130658211	946.366148914863
MIR34A	0	0	0	0	0	0
RP3-510D11.2	96.6525471452011	83.9611969977714	71.7526905403742	41.3529926137243	46.7204861289965	49.4435109882192
H6PD	508.116247849057	446.576221712784	458.11333191162	1181.211122351	1170.994311914	1139.80304278105
SPSB1	868.952423857808	944.259258989429	986.139541785656	360.51326894016	394.638999855566	346.972006934872
CTD-2510L9.2	1.84100089800383	8.51780259397681	3.67962515591663	0	5.96431737816977	1.73486003467436
CTD-2510L9.1	58.9120287361226	55.9741313318476	28.5170949583539	19.0859965909497	38.7680629581035	21.6857504334295
RNA5SP40	0	0	0	0	0	0
RP13-392I16.1	0	0	0	0	0	0
SLC25A33	174.895085310364	181.307512357506	160.983600571352	205.70462992468	191.852208997794	209.05063417826
RP13-15M17.1	5.52300269401149	9.73463153597349	5.51943773387494	9.54299829547483	4.97026448180814	7.80687015603462
TMEM201	75.481036818157	109.514604779702	80.0318471411866	163.291304167014	140.16145838699	153.535113068681
PIK3CD	120.585558819251	111.948262663695	145.345193658707	230.092292235338	270.382387810363	228.134094559678
C1orf200	0	0	0	0	0	0
RP11-558F24.2	0	0	0	0	0	0
RP11-558F24.4	20.2510098780421	4.86731576798675	13.7985943346873	10.6033314394165	5.96431737816977	5.20458010402308
CLSTN1	3423.34116983812	4101.93036347083	4283.08368148695	2245.78559886841	2316.14324852259	2144.28700285751
RP11-558F24.6	0	0	0	0	0	1.73486003467436
RP11-84A14.7	0	0	0	2.1206662878833	0	0
CTNNBIP1	377.405184090785	401.553550858907	359.68335899085	737.991868183387	768.402888887539	750.32696499666
RP11-84A14.5	0	0	0	0	0	0
LZIC	562.42577434017	540.272050246529	602.538619281348	451.701919319142	431.418957020947	407.692108148474
RP11-84A14.4	10.1255049390211	8.51780259397681	12.8786880457082	6.36199886364989	7.95242317089303	17.3486003467436
NMNAT1	325.857158946678	350.446735295046	322.887107431684	247.057622538404	221.673795888643	233.338674663701
RN7SKP269	3.68200179600766	4.86731576798675	11.0388754677499	4.24133257576659	4.97026448180814	3.46972006934872
RP11-84A14.6	5.52300269401149	8.51780259397681	11.0388754677499	6.36199886364989	7.95242317089303	8.6743001733718
MIR5697	0	0	1.83981257795831	3.18099943182494	0.994052896361628	2.60229005201154
RP11-807G9.2	0	0	0	0	0	0
RBP7	0	0	0	0	0	0
UBE4B	1566.69176420126	1663.40516370947	1630.99385036004	1202.41778522983	1268.41149575744	1259.50838517358
RP11-496H15.2	0.920500449001915	0	3.67962515591663	6.36199886364989	0	0
RP11-496H15.3	3.68200179600766	2.43365788399337	0	6.36199886364989	2.98215868908488	1.73486003467436
RNU6-828P	1.84100089800383	0	0	1.06033314394165	0	0
KIF1B	3022.92347452229	3150.37013082942	3026.49169074142	2195.94994110315	2212.76174730098	2284.81066566613
MIR1273D	1.84100089800383	0	0	0	0	1.73486003467436
RNU6-37P	0.920500449001915	1.21682894199669	1.83981257795831	0	0	3.46972006934872
RN7SL731P	0	0	0	0	0	0
RP4-736L20.4	8.28450404101724	7.30097365198012	7.35925031183325	5.30166571970824	9.94052896361628	6.93944013869744
RP4-736L20.5	11.9665058370249	2.43365788399337	5.51943773387494	10.6033314394165	1.98810579272326	15.6137403120692
PGD	8303.83455044628	8823.22665841797	8521.09195481393	11548.0882706685	10890.843532538	11697.2937837919
RP4-736L20.3	0	0	0	0	0	0.86743001733718
APITD1-CORT	3.68200179600766	2.43365788399337	1.83981257795831	2.1206662878833	0	1.73486003467436
CENPS	16.5690080820345	13.3851183619636	7.35925031183325	6.36199886364989	12.9226876527012	13.0114502600577
CORT	3.68200179600766	0	1.83981257795831	3.18099943182494	3.97621158544651	0.86743001733718
DFFA	1179.16107517145	1183.97456056278	1116.7662348207	998.833821593033	1004.98747822161	1027.90457054456
RP5-1113E3.3	0	0	0	0	0	0
PEX14	346.10816882472	380.867458844963	391.880079105121	471.848249054033	478.139443149943	492.700249847518
RN7SL614P	1.84100089800383	2.43365788399337	0	0	2.98215868908488	0
CASZ1	9.20500449001915	0	6.4393440228541	36.051326894016	43.7383274399116	39.9017807975103
RP4-734G22.3	0	0	3.67962515591663	9.54299829547483	9.94052896361628	6.07201012136026
RP11-340B24.3	0	0	0	0	0	0
C1orf127	0	0	0	0	0	0
CFLP6	0	0	0	0	0	1.73486003467436
TARDBP	439.999214622915	433.19110335082	445.234643865912	742.233200759154	818.10553370562	798.035615950205
RP4-635E18.9	0	0	0	0	0	0
MASP2	22.092010776046	8.51780259397681	30.3569075363122	57.257989772849	50.696697714443	56.3829511269167
RP4-635E18.8	4.60250224500957	10.9514604779702	4.59953144489578	15.9049971591247	19.8810579272326	7.80687015603462
SRM	46.9455228990977	55.9741313318476	49.6749396048745	675.43221269083	632.217642085996	628.886762569455
